object_type,luna,arch,file,cantaloupe
Image,UoE~1~1~24834~219731,847c0ef3-472a-4e39-b12c-e42a5cea55ab,0207252c.tif,
Image,UoE~1~1~24833~219732,97c9bed7-c9a0-4005-ba38-3ff7c1bcf3e3,0207251c.tif,
Image,UoE~1~1~24832~219733,e8d97f1a-9ce7-4ba2-b0a2-6a1739d0c456,0207250c.tif,
Image,UoE~1~1~24831~219734,72a07029-99ee-4716-bcfb-2186ef916eec,0207249c.tif,
Image,UoE~1~1~24830~219735,8c4bd873-390b-4b57-ad6c-315a5edaaa07,0207248c.tif,
Image,UoE~1~1~24829~219736,d8e1b98c-ad61-4450-a2e1-155ae755cdb3,0207247c.tif,
Image,UoE~1~1~24828~219737,45a2e8fa-4977-4ee4-9bea-9be2871701b2,0207246c.tif,
Image,UoE~1~1~24827~219738,8c026e9e-9dbc-4a63-8148-ebbccec97c88,0207245c.tif,
Image,UoE~1~1~24826~219739,4d8fb947-a6e2-412c-9209-422fbdea3a2e,0207244c.tif,
Image,UoE~1~1~24825~219740,cdedfee1-2b01-43c6-acf6-de225278caf8,0207243c.tif,
Image,UoE~1~1~24824~219741,bd69b06e-df43-429d-8a04-e783c74fc576,0207242c.tif,
Image,UoE~1~1~24823~219742,350d73ca-a315-4c6b-93d2-c6334afff4eb,0207241c.tif,
Image,UoE~1~1~24822~219743,7e0f53bc-8c3e-45c2-98da-282645c97d59,0207240c.tif,
Image,UoE~1~1~24821~219744,0a881a4b-4472-424c-ad5c-831b57f5539e,0207239c.tif,
Image,UoE~1~1~24820~219745,970e5fa1-6da4-452a-bf4e-7ca634316c9b,0207238c.tif,
Image,UoE~1~1~24819~219746,3e568cda-32ca-4839-847b-c8dba1a1d1e4,0207237c.tif,
Image,UoE~1~1~24818~219747,7feef3cb-1439-478e-bbc8-c5bd9f99f4a2,0207236c.tif,
Image,UoE~1~1~24817~219748,41a31081-a548-40b5-bd14-1115b3490ddc,0207235c.tif,
Image,UoE~1~1~24816~219749,59b687f7-0c18-43f7-8b8d-fd7c65ea51e4,0207234c.tif,
Image,UoE~1~1~24815~219750,e31ba92c-4b6d-4464-84c8-eb1a1fce03cb,0207233c.tif,
Image,UoE~1~1~24814~219751,9fde05ca-3e8f-4f20-b0d1-73fabda460d7,0207232c.tif,
Image,UoE~1~1~24813~219752,123ad943-fc9c-49d6-a416-15b04b1bccc2,0207231c.tif,
Image,UoE~1~1~24812~219753,00f91754-6aa5-48f4-958c-9fad8737c608,0207230c.tif,
Image,UoE~1~1~24811~219754,f63f808e-15f8-448f-ab3b-b97674f78c45,0207229c.tif,
Image,UoE~1~1~24810~219755,db210d20-c40c-4e4b-afdb-20443e34c029,0207228c.tif,
Image,UoE~1~1~24809~219756,a8e825c1-6881-41ac-ba2e-b70e58c6ae5b,0207227c.tif,
Image,UoE~1~1~24808~219757,15564ed6-12fa-4fe7-9860-905e81caa3f3,0207226c.tif,
Image,UoE~1~1~24807~219758,9bd7b257-c237-4d5e-96fe-ff7796b6341a,0207225c.tif,
Image,UoE~1~1~24806~219759,f0affc5d-39b8-4e22-82ad-7ee1d1aa7079,0207224c.tif,
Image,UoE~1~1~24805~219760,a9c94423-5593-44e0-a746-25da55c61724,0207223c.tif,
Image,UoE~1~1~24804~219761,cd4a8269-56d9-4dd7-a940-c029a0241298,0207222c.tif,
Image,UoE~1~1~24803~219762,63b2c5e5-7930-41de-bfaf-cc260df1701f,0207221c.tif,
Image,UoE~1~1~24802~219763,66989e72-a790-4b0e-a6c6-74f339c35332,0207220c.tif,
Image,UoE~1~1~24801~219764,d83586a1-ef34-4c2d-843c-633b35ba459e,0207219c.tif,
Image,UoE~1~1~24800~219765,52d547ca-6f50-4708-8b5a-d64d261c10f9,0207218c.tif,
Image,UoE~1~1~24799~219766,a2a474a0-3365-4494-ad40-b0a5d8bc535f,0207217c.tif,
Image,UoE~1~1~24798~219767,90ac284f-58a1-471d-a8fd-97c9fbb295ba,0207216c.tif,
Image,UoE~1~1~24797~219768,227d2bdd-b7ad-4d12-abf6-7e6c2b0d9456,0207215c.tif,
Image,UoE~1~1~24796~219769,06b7ddd5-17b6-468e-a98e-218238e879aa,0207214c.tif,
Image,UoE~1~1~24795~219770,9ec0441a-c432-4759-970e-e853637132a6,0207213c.tif,
Image,UoE~1~1~24794~219771,f811626d-b69f-412b-91c3-161e8e7e912c,0207212c.tif,
Image,UoE~1~1~24793~219772,adeb8217-560f-4ba1-ac8f-bdd3fc5a995a,0207211c.tif,
Image,UoE~1~1~24792~219773,825eb7f0-96af-4448-b7f9-2a9af077eaf1,0207210c.tif,
Image,UoE~1~1~24791~219774,c9dffc40-f75d-4eb2-b539-7aa34c3490cb,0207209c.tif,
Image,UoE~1~1~24790~219775,b979911c-ad1b-425c-ab98-36865fe83d76,0207208c.tif,
Image,UoE~1~1~24789~219776,269b0c1c-387b-4819-9e1d-d80dc27f6f49,0207207c.tif,
Image,UoE~1~1~24788~219777,8b69c7cc-beb3-4982-82ad-e151adee34a8,0207206c.tif,
