TOKEN, MAPPEDURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
4ts3qd,"https://images.is.ed.ac.uk/luna/servlet/workspace?sip0=,UoEwmm~2~2~46403~102368,136,36,1008,700,1280,720,506,352,1008,700,1&xwr=16&ywr=9"
l25r6h,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEwmm~2~2~48262~102537:Album-Amicorum,-f-373v?trs=1330&qvq=sort%3AWork_Creator_Name%2CWork_Shelfmark%2CWork_Source_Page_No%2CWork_Title%3Blc%3AUoEwmm%7E2%7E2&mi=297&cic=UoEwmm%7E2%7E2&sort=Work_Creator_Name%2CWork_Shelfmark%2CWork_Source_Page_No%2CWork_Title"
vhc5ir,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~4~4~46507~103437:Annual-Report,-1934,-Front-cover?trs=489&qvq=sort%3AWork_Creator_Details%2CWork_Shelfmark%2CWork_Source_Page_No%2CRepro_Title%3Blc%3AUoEgal%7E4%7E4&mi=34&cic=UoEgal%7E4%7E4&sort=Work_Creator_Details%2CWork_Shelfmark%2CWork_Source_Page_No%2CRepro_Title"
w142cm,https://images.is.ed.ac.uk/luna/servlet/browseByCategory?pgs=50&res=1&cic=UoEsha%7E1%7E1
a84ixo,https://images.is.ed.ac.uk/luna/servlet/login?cic=UoEwal%7E1%7E1
8b2pbb,https://images.is.ed.ac.uk/luna/servlet/detail/UoEhal~2~2~99442~100012:Andrew-Duncan
5n7pvu,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~41235~101126:King-Richard-III,-1634,-Front-end-p?trs=54&qvq=w4s%3A%2Fwhat%2FJA+3723%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=2&cic=UoEsha%7E1%7E1&sort=Work_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name"
tjg8nu,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~41235~101126:King-Richard-III,-1634,-Front-end-p?trs=54&qvq=q%3AJA+3723%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=2&cic=UoEsha%7E1%7E1&sort=Work_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name"
5jv730,https://images.is.ed.ac.uk/luna/servlet/view/search?os=0&q=JA+3723&pgs=50&res=1&cic=UoEsha%7E1%7E1&sort=Work_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name
07hnu8,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~34026~100545:Merchant-of-Venice,-1637,-Front-end?trs=45&qvq=q%3AJA+3726%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=1&cic=UoEsha%7E1%7E1&sort=Work_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name"
